"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"31.12.2020","19.8710","19.9080","19.9700","19.8314","-0.10%"
"30.12.2020","19.8900","19.9065","20.0506","19.8039","0.00%"
"29.12.2020","19.8900","20.0160","20.0750","19.8582","-0.55%"
"28.12.2020","20.0010","19.9263","20.1283","19.8298","0.73%"
"25.12.2020","19.8561","19.8860","19.9131","19.8525","-0.00%"
"24.12.2020","19.8570","20.0632","20.0797","19.8277","-0.96%"
"23.12.2020","20.0491","20.1395","20.2133","20.0038","-0.41%"
"22.12.2020","20.1311","19.9520","20.1925","19.9403","0.95%"
"21.12.2020","19.9410","19.9600","20.6625","19.8873","0.03%"
"18.12.2020","19.9355","19.8190","20.0471","19.7861","0.71%"
"17.12.2020","19.7940","19.8485","19.8974","19.7257","-0.15%"
"16.12.2020","19.8240","19.9055","20.0076","19.8075","-0.32%"
"15.12.2020","19.8880","20.2425","20.2621","19.8878","-1.74%"
"14.12.2020","20.2412","20.1165","20.2549","19.9904","0.53%"
"11.12.2020","20.1345","20.0125","20.2008","19.9476","0.70%"
"10.12.2020","19.9950","19.8640","20.0499","19.8174","0.70%"
"09.12.2020","19.8560","19.7835","20.0089","19.6902","0.46%"
"08.12.2020","19.7650","19.8825","19.9226","19.6903","-0.46%"
"07.12.2020","19.8570","19.7725","19.9809","19.7619","0.45%"
"04.12.2020","19.7682","19.8945","19.9300","19.7295","-0.56%"
"03.12.2020","19.8790","19.9700","20.0404","19.8501","-0.41%"
"02.12.2020","19.9600","20.0250","20.1535","19.9525","-0.29%"
"01.12.2020","20.0190","20.1825","20.2115","19.9775","-0.73%"
"30.11.2020","20.1660","20.0450","20.2233","20.0154","0.70%"
"27.11.2020","20.0265","20.0380","20.1102","19.9580","-0.00%"
"26.11.2020","20.0270","19.9635","20.0779","19.9272","0.44%"
"25.11.2020","19.9390","20.0200","20.1091","19.9424","-0.30%"
"24.11.2020","19.9980","20.1520","20.1670","19.9813","-0.81%"
"23.11.2020","20.1620","20.1140","20.2160","19.9424","0.32%"
"20.11.2020","20.0975","20.1945","20.2965","20.0465","-0.40%"
"19.11.2020","20.1790","20.3185","20.4402","20.1047","-0.90%"
"18.11.2020","20.3620","20.2850","20.3765","20.1644","0.27%"
"17.11.2020","20.3070","20.2625","20.4455","20.2328","0.30%"
"16.11.2020","20.2460","20.3994","20.3994","20.1466","-0.71%"
"13.11.2020","20.3917","20.6490","20.6969","20.3611","-1.17%"
"12.11.2020","20.6330","20.4655","20.6891","20.4226","0.83%"
"11.11.2020","20.4640","20.3305","20.6178","20.2385","0.74%"
"10.11.2020","20.3130","20.3380","20.4935","20.2663","-0.07%"
"09.11.2020","20.3280","20.5510","20.5615","20.0236","-1.05%"
"06.11.2020","20.5440","20.7070","20.8755","20.5089","-0.61%"
"05.11.2020","20.6700","20.9405","21.0535","20.6190","-1.11%"
"04.11.2020","20.9010","21.1250","21.9950","20.8813","-0.94%"
"03.11.2020","21.1000","21.3754","21.3920","21.0142","-1.28%"
"02.11.2020","21.3743","21.2440","21.5002","21.2161","0.96%"
"30.10.2020","21.1710","21.3876","21.5001","21.1690","-1.01%"
"29.10.2020","21.3870","21.2900","21.4923","21.1333","0.50%"
"28.10.2020","21.2800","21.0395","21.3782","21.0037","1.19%"
"27.10.2020","21.0290","20.9325","21.0543","20.8244","0.55%"
"26.10.2020","20.9150","20.8925","21.1360","20.8839","0.23%"
"23.10.2020","20.8680","20.9600","21.0515","20.8366","-0.38%"
"22.10.2020","20.9480","21.1090","21.2261","20.9403","-0.71%"
"21.10.2020","21.0980","21.1215","21.1369","20.9860","-0.11%"
"20.10.2020","21.1211","21.2005","21.2710","21.0324","-0.32%"
"19.10.2020","21.1880","21.1175","21.2971","21.0448","0.31%"
"16.10.2020","21.1230","21.2745","21.3890","21.0888","-0.71%"
"15.10.2020","21.2749","21.3150","21.5500","21.2582","-0.27%"
"14.10.2020","21.3330","21.3620","21.4710","21.2364","-0.07%"
"13.10.2020","21.3470","21.2410","21.4895","21.1490","0.57%"
"12.10.2020","21.2260","21.1650","21.3075","21.1268","0.41%"
"09.10.2020","21.1396","21.3790","21.4095","21.1169","-1.09%"
"08.10.2020","21.3720","21.4770","21.5064","21.3460","-0.38%"
"07.10.2020","21.4540","21.7345","21.7393","21.3542","-1.23%"
"06.10.2020","21.7210","21.4000","21.7645","21.2492","1.58%"
"05.10.2020","21.3830","21.6085","21.6467","21.2988","-1.05%"
"02.10.2020","21.6103","21.8320","22.0688","21.5654","-0.97%"
"01.10.2020","21.8230","22.1065","22.1400","21.7843","-1.25%"
"30.09.2020","22.0990","22.4360","22.5645","22.0250","-1.62%"
"29.09.2020","22.4640","22.4175","22.5479","22.1762","0.31%"
"28.09.2020","22.3950","22.3464","22.6589","22.1404","0.25%"
"25.09.2020","22.3389","22.1700","22.5646","21.9801","0.87%"
"24.09.2020","22.1470","22.3836","22.7016","21.9527","-1.05%"
"23.09.2020","22.3812","21.7400","22.4436","21.6635","3.03%"
"22.09.2020","21.7230","21.3625","21.7915","21.2890","1.77%"
"21.09.2020","21.3460","21.0975","21.6030","21.0491","1.04%"
"18.09.2020","21.1272","20.8660","21.1453","20.8382","1.32%"
"17.09.2020","20.8510","20.9440","21.1512","20.8458","-0.37%"
"16.09.2020","20.9290","21.1555","21.1719","20.9214","-1.01%"
"15.09.2020","21.1430","21.0885","21.1721","20.9517","0.33%"
"14.09.2020","21.0740","21.2930","21.2962","21.0387","-0.90%"
"11.09.2020","21.2663","21.4330","21.4592","21.2367","-0.79%"
"10.09.2020","21.4360","21.3650","21.5007","21.2045","0.39%"
"09.09.2020","21.3520","21.7740","21.9431","21.3365","-1.88%"
"08.09.2020","21.7600","21.6245","21.8797","21.5662","0.65%"
"07.09.2020","21.6195","21.5326","21.6659","21.5301","0.25%"
"04.09.2020","21.5660","21.6495","21.7475","21.4977","-0.43%"
"03.09.2020","21.6600","21.7260","21.8315","21.5452","-0.23%"
"02.09.2020","21.7100","21.7925","21.9100","21.7017","-0.37%"
"01.09.2020","21.7900","21.8915","21.9605","21.6754","-0.40%"
"31.08.2020","21.8785","21.7600","21.9850","21.7404","0.58%"
"28.08.2020","21.7523","22.1495","22.1626","21.7413","-1.72%"
"27.08.2020","22.1338","21.9420","22.2274","21.8211","0.92%"
"26.08.2020","21.9310","21.8930","21.9871","21.8778","0.21%"
"25.08.2020","21.8850","22.0000","22.0278","21.8748","-0.43%"
"24.08.2020","21.9790","21.9741","22.0439","21.8790","0.09%"
"21.08.2020","21.9598","22.0760","22.1896","21.9424","-0.52%"
"20.08.2020","22.0740","22.1382","22.3304","22.0731","-0.22%"
"19.08.2020","22.1231","22.1590","22.1926","21.9959","-0.12%"
"18.08.2020","22.1496","22.1845","22.2199","22.0078","-0.08%"
"17.08.2020","22.1670","21.9700","22.2186","21.9004","0.88%"
"14.08.2020","21.9742","22.1890","22.2430","21.9324","-0.71%"
"13.08.2020","22.1320","22.3535","22.4109","22.1357","-0.94%"
"12.08.2020","22.3420","22.4000","22.5006","22.2596","-0.20%"
"11.08.2020","22.3860","22.4715","22.5214","22.2583","-0.27%"
"10.08.2020","22.4470","22.3855","22.5471","22.3470","0.40%"
"07.08.2020","22.3576","22.3965","22.6147","22.3404","-0.05%"
"06.08.2020","22.3680","22.3734","22.6143","22.2983","0.05%"
"05.08.2020","22.3576","22.6690","22.6910","22.3290","-1.28%"
"04.08.2020","22.6470","22.6390","22.9225","22.5287","0.10%"
"03.08.2020","22.6246","22.2644","22.7017","22.2535","1.59%"
"31.07.2020","22.2714","22.0265","22.3090","21.9696","1.22%"
"30.07.2020","22.0040","21.9750","22.2484","21.9564","0.20%"
"29.07.2020","21.9610","21.9430","22.0559","21.8384","0.16%"
"28.07.2020","21.9250","21.9225","22.1094","21.8914","0.05%"
"27.07.2020","21.9140","22.2945","22.3250","21.9181","-1.55%"
"24.07.2020","22.2590","22.5120","22.6354","22.2320","-1.02%"
"23.07.2020","22.4890","22.3700","22.5638","22.2472","0.59%"
"22.07.2020","22.3580","22.3380","22.4348","22.1784","0.11%"
"21.07.2020","22.3327","22.4940","22.5191","22.2602","-0.65%"
"20.07.2020","22.4790","22.5570","22.7275","22.4497","-0.27%"
"17.07.2020","22.5400","22.4238","22.6244","22.3764","0.57%"
"16.07.2020","22.4119","22.3270","22.4746","22.2690","0.40%"
"15.07.2020","22.3220","22.4545","22.4610","22.2495","-0.54%"
"14.07.2020","22.4430","22.7620","22.7836","22.4189","-1.40%"
"13.07.2020","22.7615","22.4570","22.7715","22.3683","1.42%"
"10.07.2020","22.4435","22.6425","22.8545","22.4312","-0.81%"
"09.07.2020","22.6260","22.6645","22.7820","22.5308","-0.13%"
"08.07.2020","22.6550","22.8590","22.9175","22.6382","-0.81%"
"07.07.2020","22.8410","22.3363","22.8915","22.2509","2.31%"
"06.07.2020","22.3259","22.4145","22.4233","22.1509","-0.29%"
"03.07.2020","22.3915","22.4770","22.6010","22.3729","-0.33%"
"02.07.2020","22.4650","22.6745","22.7482","22.4014","-0.89%"
"01.07.2020","22.6660","22.9987","23.0932","22.6162","-1.40%"
"30.06.2020","22.9889","23.0714","23.2305","22.9314","-0.31%"
"29.06.2020","23.0595","23.0684","23.2045","22.9244","0.05%"
"26.06.2020","23.0485","22.6624","23.0774","22.6297","1.78%"
"25.06.2020","22.6452","22.7851","22.9885","22.6270","-0.58%"
"24.06.2020","22.7772","22.4139","22.8045","22.3039","1.65%"
"23.06.2020","22.4082","22.4870","22.6815","22.2811","-0.35%"
"22.06.2020","22.4860","22.6530","22.6765","22.3004","-0.65%"
"19.06.2020","22.6328","22.7530","22.7728","22.4986","-0.48%"
"18.06.2020","22.7418","22.3140","22.8301","22.1887","1.98%"
"17.06.2020","22.3010","22.3230","22.4732","22.1525","-0.04%"
"16.06.2020","22.3095","22.2239","22.3985","21.8919","0.43%"
"15.06.2020","22.2139","22.3577","22.7599","22.1240","-0.02%"
"12.06.2020","22.2189","22.7632","22.9476","22.1795","-2.28%"
"11.06.2020","22.7368","21.8745","22.7922","21.8510","4.03%"
"10.06.2020","21.8570","21.9172","22.0450","21.6785","-0.20%"
"09.06.2020","21.9017","21.5045","21.9340","21.4601","1.91%"
"08.06.2020","21.4920","21.5707","21.7262","21.4736","-0.43%"
"05.06.2020","21.5844","21.9095","21.9550","21.4909","-1.57%"
"04.06.2020","21.9280","21.7715","21.9964","21.7003","0.78%"
"03.06.2020","21.7579","21.7900","21.8133","21.5019","-0.11%"
"02.06.2020","21.7817","22.0330","22.1189","21.5758","-1.10%"
"01.06.2020","22.0240","22.2801","22.2860","21.9294","-0.65%"
"29.05.2020","22.1675","22.2184","22.3440","21.9972","-0.23%"
"28.05.2020","22.2179","22.3040","22.4216","22.0953","-0.31%"
"27.05.2020","22.2880","22.1995","22.4925","22.1405","0.46%"
"26.05.2020","22.1860","22.5494","22.5917","22.1054","-1.55%"
"25.05.2020","22.5342","22.7225","22.7717","22.5185","-0.84%"
"22.05.2020","22.7250","22.8649","23.1650","22.7070","-0.61%"
"21.05.2020","22.8644","23.1995","23.2803","22.7507","-1.41%"
"20.05.2020","23.1910","23.6815","23.7544","23.0545","-2.07%"
"19.05.2020","23.6810","23.7590","23.7992","23.4435","-0.27%"
"18.05.2020","23.7460","24.0060","24.0074","23.4471","-0.76%"
"15.05.2020","23.9282","23.8710","24.1252","23.7518","0.29%"
"14.05.2020","23.8600","24.2059","24.3892","23.7395","-1.41%"
"13.05.2020","24.2009","24.3580","24.3999","23.9974","-0.63%"
"12.05.2020","24.3550","23.9275","24.4244","23.7511","1.81%"
"11.05.2020","23.9210","23.6920","23.9825","23.5387","1.27%"
"08.05.2020","23.6210","24.0610","24.1335","23.5535","-1.71%"
"07.05.2020","24.0310","24.3850","24.5510","23.9187","-1.32%"
"06.05.2020","24.3530","24.0030","24.4185","23.8638","1.53%"
"05.05.2020","23.9860","24.0700","24.1805","23.7770","-0.31%"
"04.05.2020","24.0600","24.7335","24.8871","24.0583","-2.07%"
"01.05.2020","24.5681","24.1750","24.8860","24.1066","1.73%"
"30.04.2020","24.1510","23.7415","24.1970","23.6325","1.74%"
"29.04.2020","23.7380","24.2945","24.3347","23.7393","-2.20%"
"28.04.2020","24.2710","24.6925","24.9072","24.2104","-1.64%"
"27.04.2020","24.6759","25.0050","25.0352","24.6732","-1.09%"
"24.04.2020","24.9490","24.8075","25.2975","24.5962","0.58%"
"23.04.2020","24.8060","24.4920","24.8575","24.3101","1.39%"
"22.04.2020","24.4670","24.3923","24.7020","24.2069","0.30%"
"21.04.2020","24.3930","24.0490","24.5490","23.9657","1.48%"
"20.04.2020","24.0380","23.8750","24.2440","23.8600","1.55%"
"17.04.2020","23.6710","24.0255","24.1530","23.6075","-1.37%"
"16.04.2020","24.0010","23.9986","24.4360","23.9657","0.11%"
"15.04.2020","23.9740","23.3850","24.1959","23.3605","2.58%"
"14.04.2020","23.3700","23.6631","23.7668","23.3792","-0.92%"
"13.04.2020","23.5860","23.3250","23.8774","23.2525","1.10%"
"10.04.2020","23.3300","23.5700","23.7903","23.3328","-0.98%"
"09.04.2020","23.5600","24.0125","24.0954","23.3379","-1.86%"
"08.04.2020","24.0075","24.3115","24.7889","23.9331","-1.18%"
"07.04.2020","24.2950","24.6316","24.6866","23.8214","-1.35%"
"06.04.2020","24.6266","25.0900","25.7573","24.5780","-1.34%"
"03.04.2020","24.9610","24.2260","25.0550","24.2005","3.06%"
"02.04.2020","24.2210","24.2385","24.5205","23.7825","0.08%"
"01.04.2020","24.2010","23.7190","24.6266","23.6052","2.05%"
"31.03.2020","23.7140","23.8040","24.1698","23.3270","-0.31%"
"30.03.2020","23.7880","23.7050","24.5650","23.4770","2.09%"
"27.03.2020","23.3010","22.9430","23.6304","22.8540","1.62%"
"26.03.2020","22.9300","23.9480","24.2485","22.9368","-4.18%"
"25.03.2020","23.9310","24.8435","24.9135","23.8535","-3.61%"
"24.03.2020","24.8270","25.3606","25.4480","24.6173","-2.02%"
"23.03.2020","25.3380","24.4250","25.3685","24.4150","3.75%"
"20.03.2020","24.4215","24.0275","24.5688","23.4881","1.66%"